评论发表时间,评论内容,评论发表地点,点赞数,评论数,转发数
Sun Dec 11 22:22:28 +0800 2022,"【神州十五号载人飞船科普知识主题班会PPT】整个ppt页数合计21页  <a  href=""https://video.weibo.com/show?fid=1034:4845616627646484"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">红船ppt网的微博视频</span></a> ",四川,1,0,1
Sat Dec 10 16:40:47 +0800 2022,"今天我和媳妇一起把女儿教训了一顿，因为她说什么什么中国把研发疫苗和新冠药的钱用在了发射神州十五号上……<br /><br />她妈说这三年从疫苗到核酸，花了这么钱，还想咋的？发展航天事业有很多用途，包括军事，光知道活命不发展科技，将来大家的命更握在别人手里。<br /><br />我说以后你不准刷抖音听这种乱七八糟的观点， ...<a href=""/status/4845168479441579"">全文</a>",辽宁,1487,131,1487
Sat Dec 10 20:54:02 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E6%A0%A1%E5%9B%AD%E6%96%87%E5%8C%96%E8%89%BA%E6%9C%AF%E8%8A%82%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#校园文化艺术节#</span></a> <span class=""url-icon""><img alt=[鲜花] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[鲜花] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span>【“书写伟大新征程”太空科技书画作品比赛】<a href='/n/安阳市教育局'>@安阳市教育局</a> <a href='/n/文峰区教育局'>@文峰区教育局</a> <br />北风凛冽，天寒地冷，华夏神州却传来火热的喜讯。11月30日7：33，我国神舟十五号载人飞船航天员与神舟十四号航天员乘组在“天宫”胜利会师，在中国人自己的“太空家园”里留下了载入史 ...<a href=""/status/4845232216605835"">全文</a>",河南,5,1,5
Sat Dec 10 14:21:52 +0800 2022,"<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%85%AD%E7%BA%A7%E9%A2%84%E6%B5%8B%23&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#六级预测#</span></a>怎么预测啥都有<span class=""url-icon""><img alt=[哈哈] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_haha-0ec05e6dad.png"" style=""width:1em; height:1em;"" /></span>人人都是预测大师，那我我也来预测一个神州十五号<span class=""url-icon""><img alt=[爱你] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_aini-09d5f3f870.png"" style=""width:1em; height:1em;"" /></span><br />反正预测准不准没人管，都是徒增焦虑罢了，不如多去背背功能句 ",贵州,0,1,0
Sat Dec 10 08:51:26 +0800 2022,"人们通常把两股力量的成功相会称作“会师”。近日，在九天之上，神舟十四号和神舟十五号的两个航天员乘组就在中国空间站顺利完成了首次“太空会师”，成就了中国载人航天的一大历史性时刻。<br /><br />回到神州大地，作为连续多年贴身护航“神舟”系列载人航天任务的品牌，同时也是国内户外用品龙头企业的探路者 ...<a href=""/status/4845050363644211"">全文</a>",天津,2,0,2
Sat Dec 10 01:51:15 +0800 2022,"神舟十五号乘组人员<br />费俊龙：57岁，40岁时曾执行神州六号任务；<br />邓清明：56岁，等待25年方得飞天；<br />张陆：46岁，首次飞天。<br /><br />鬼鬼祟祟、蹑手蹑脚、旁敲侧击、满怀恶意地来问男人的年龄，多么猥琐可笑啊……<br />男人的年龄，是从来不需要保密的。 <a  href=""https://video.weibo.com/show?fid=1034:4844943970336786"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">Moehoo猛虎的微博视频</span></a> ",北京,0,0,0
Fri Dec 09 23:41:01 +0800 2022,"179 days 。   神州十五号高考语文作文素材。（附例题与范文） <a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23studyaccount+%23&isnewpage=1&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#studyaccount #</span></a>#高中#<a  href=""https://m.weibo.cn/p/index?extparam=%E9%AB%98%E8%80%83&containerid=100808689d4e106745fd7f4ea5b204e4d96857&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">高考</span></a> ",河南,12,0,12
Fri Dec 09 08:16:56 +0800 2022,"【“牧星人”刘恩敏：“天宫”才一日，地上14年】浩瀚银河，星辰闪耀。近日，神州十五号航天员乘组顺利入驻“天宫”，中国人的“太空家园”再添新成员。地面一隅，在信息通信部队某卫星站，一级上士刘恩敏也在仰望星空，与卫星打交道的14年，让他有着深深的感触……（聂超凡、元滨、王刚）<a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%86%9B%E4%BA%8B%E5%88%86%E4%BA%AB%E5%AE%98%23&extparam=%23%E5%86%9B%E4%BA%8B%E5%88%86%E4%BA%AB%E5%AE%98%23&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#军事分享官#</span></a> ",北京,17,1,17
Fri Dec 09 18:36:19 +0800 2022,"2022.4.16——神州十三号飞行任务的圆满完成标志着：空间站关键技术验证阶段圆满完成，中国空间站即将进入建造阶段。<br /><br />2022.6.5——神州十四号载人飞船及3名宇航员送入太空标志着：中国空间站任务转入建造阶段后的首次飞行任务的开启。 <br /><br />2022.11.29——神舟十五号飞行任务是中国空间站建造阶段的最后 ...<a href=""/status/4844835167020238"">全文</a>",山西,3,2,3
Fri Dec 09 13:41:09 +0800 2022,"<a  href=""https://m.weibo.cn/p/index?extparam=%E5%86%85%E8%92%99%E5%8F%A4%E8%89%BA%E6%9C%AF%E5%AD%A6%E9%99%A2&containerid=1008083a9a540a22e92820f80aa2aa0b2d85bf&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">内蒙古艺术学院</span></a> <br />唯有热爱才可抵漫长岁月，唯有坚持才可以实现梦想<span class=""url-icon""><img alt=[鲜花] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/w_xianhua-f902c37199.png"" style=""width:1em; height:1em;"" /></span>致敬每一个航天英雄，中国航天永远值得期待<span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span><br />视频出自：会火大明星<br /><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%A5%9E%E5%B7%9E%23&extparam=%23%E7%A5%9E%E5%B7%9E%23&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#神州#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7%23&extparam=%23%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7%23&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#神州十五号#</span></a><a  href=""https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%86%85%E8%89%BA%E8%A7%86%E9%87%8E%23&extparam=%23%E5%86%85%E8%89%BA%E8%A7%86%E9%87%8E%23&luicode=10000011&lfid=100103type%3D1%26t%3D10%26q%3D%E7%A5%9E%E5%B7%9E%E5%8D%81%E4%BA%94%E5%8F%B7"" data-hide=""""><span class=""surl-text"">#内艺视野#</span></a> <a  href=""https://video.weibo.com/show?fid=1034:4844760712806464"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png'></span><span class=""surl-text"">内艺视野的微博视频</span></a> ",山东,5,0,5
